#TAG,NAME IN REPO ,PURPOSE 
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-font-util,"xorg fonts"
,xorg-xwininfo,"allows querying information about windows."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-server,"is the graphical server."
,xorg-xinit,"starts the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
,xwallpaper,"sets the wallpaper."
,xcompmgr,"is for transparency and removing screen-tearing."
,xclip,"allows for copying and pasting from the command line."
,calcurse,"is a lightweight terminal-based calendar."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,newsboat,"is a terminal RSS client."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controler."
,pamixer,"is a command-line audio interface."
,maim,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xdotool,"provides window action utilities on the command line."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,openssh,"security shell"
,highlight,"can highlight code output."
,ttf-joypixels,"emoji font"
,picom,"dwm dependencie"
,thefuck,"sintax corrector for zsh"
,kitty,"featurefull terminal"
,zsh,"shell"
,neovim,"a tidier vim with some useful features"
,tmux,"terminal window"
,python,"neovim dependencie"
,python2,"neovim dependencie"
,python-pynvim,"neovim dependencie"
,ctags,"neovim dependencie"
A,antibody,"plugin manager for zsh"
A,nvm,"node version manager"
A,python2-pynvim,"neovim dependencie"
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
